profile_id,year,id,wtssps,age,sex,race,hispanic,degree,income16,hompop,class,region,partyid,polviews,relig,reborn,reliten,attend,consci,profile_basic,profile_detailed
p0011,2024,3194,1.0345999314969627,64,female,black,not hispanic,associate/junior college,"$22,500 to $24,999",2,lower class,south,not very strong democrat,slightly conservative,protestant,yes,strong,every week,only some,You are simulating the response of a U.S. resident with the following characteristics: age 64; sex female; race black; highest educational degree: associate/junior college; party identification: not very strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 64 years old.
- Sex: female.
- Race: black.
- Hispanic origin: not hispanic.
- Highest educational degree: associate/junior college.
- Household income (GSS bracket): $22,500 to $24,999.
- Household size: 2.
- Self-described social class: lower class.
- Census region: south.
- Party identification: not very strong democrat.
- Political views (liberal-conservative): slightly conservative.
- Religion: protestant.
- Strength of religious affiliation: strong.
- Religious service attendance: every week.
- Self-identifies as a born-again or evangelical Christian.
- Confidence in the scientific community: only some."
p0012,2024,760,0.9201029459655067,47,female,white,not hispanic,high school,"$110,000 to $129,999",4,middle class,northeast,not very strong republican,slightly conservative,protestant,yes,strong,every week,only some,You are simulating the response of a U.S. resident with the following characteristics: age 47; sex female; race white; highest educational degree: high school; party identification: not very strong republican.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 47 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $110,000 to $129,999.
- Household size: 4.
- Self-described social class: middle class.
- Census region: northeast.
- Party identification: not very strong republican.
- Political views (liberal-conservative): slightly conservative.
- Religion: protestant.
- Strength of religious affiliation: strong.
- Religious service attendance: every week.
- Self-identifies as a born-again or evangelical Christian.
- Confidence in the scientific community: only some."
p0013,2024,1817,1.218054610881167,25,male,white,not hispanic,associate/junior college,"$130,000 to $149,999",NA,middle class,south,"independent, close to republican",conservative,none,no,iap,less than once a year,hardly any,"You are simulating the response of a U.S. resident with the following characteristics: age 25; sex male; race white; highest educational degree: associate/junior college; party identification: independent, close to republican.","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 25 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: associate/junior college.
- Household income (GSS bracket): $130,000 to $149,999.
- Self-described social class: middle class.
- Census region: south.
- Party identification: independent, close to republican.
- Political views (liberal-conservative): conservative.
- Religion: not religious.
- Confidence in the scientific community: hardly any."
p0014,2024,1206,0.7361137363073573,51,male,white,not hispanic,associate/junior college,"$170,000 or over",NA,middle class,midwest,"independent, close to democrat","moderate, middle of the road",none,no,no religion,never,iap,"You are simulating the response of a U.S. resident with the following characteristics: age 51; sex male; race white; highest educational degree: associate/junior college; party identification: independent, close to democrat.","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 51 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: associate/junior college.
- Household income (GSS bracket): $170,000 or over.
- Self-described social class: middle class.
- Census region: midwest.
- Party identification: independent, close to democrat.
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: not religious.
- Confidence in the scientific community: iap."
p0015,2024,1875,3.295332483886527,26,male,other,puerto rican,associate/junior college,"$50,000 to $59,999",NA,middle class,midwest,"independent (neither, no response)",slightly liberal,catholic,no,not very strong,several times a year,a great deal,"You are simulating the response of a U.S. resident with the following characteristics: age 26; sex male; race other; highest educational degree: associate/junior college; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 26 years old.
- Sex: male.
- Race: other.
- Hispanic origin: puerto rican.
- Highest educational degree: associate/junior college.
- Household income (GSS bracket): $50,000 to $59,999.
- Self-described social class: middle class.
- Census region: midwest.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): slightly liberal.
- Religion: catholic.
- Strength of religious affiliation: not very strong.
- Religious service attendance: several times a year.
- Confidence in the scientific community: a great deal."
p0016,2024,1546,4.101391309911217,21,female,white,"another hispanic, latino, or spanish origin",high school,"$50,000 to $59,999",NA,working class,south,"independent (neither, no response)","moderate, middle of the road",catholic,no,not very strong,several times a year,iap,"You are simulating the response of a U.S. resident with the following characteristics: age 21; sex female; race white; highest educational degree: high school; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 21 years old.
- Sex: female.
- Race: white.
- Hispanic origin: another hispanic, latino, or spanish origin.
- Highest educational degree: high school.
- Household income (GSS bracket): $50,000 to $59,999.
- Self-described social class: working class.
- Census region: south.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: catholic.
- Strength of religious affiliation: not very strong.
- Religious service attendance: several times a year.
- Confidence in the scientific community: iap."
p0017,2024,1824,1.0775030005345838,58,female,white,not hispanic,less than high school,"$30,000 to $34,999",NA,lower class,south,not very strong democrat,liberal,none,no,iap,never,iap,You are simulating the response of a U.S. resident with the following characteristics: age 58; sex female; race white; highest educational degree: less than high school; party identification: not very strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 58 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: less than high school.
- Household income (GSS bracket): $30,000 to $34,999.
- Self-described social class: lower class.
- Census region: south.
- Party identification: not very strong democrat.
- Political views (liberal-conservative): liberal.
- Religion: not religious.
- Confidence in the scientific community: iap."
p0018,2024,2659,0.4960230926312674,81,female,black,not hispanic,high school,don't know,NA,lower class,midwest,strong democrat,liberal,protestant,yes,strong,never,iap,You are simulating the response of a U.S. resident with the following characteristics: age 81; sex female; race black; highest educational degree: high school; party identification: strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 81 years old.
- Sex: female.
- Race: black.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): don't know.
- Self-described social class: lower class.
- Census region: midwest.
- Party identification: strong democrat.
- Political views (liberal-conservative): liberal.
- Religion: protestant.
- Strength of religious affiliation: strong.
- Religious service attendance: never.
- Self-identifies as a born-again or evangelical Christian.
- Confidence in the scientific community: iap."
p0019,2024,304,0.4052092876501867,54,female,white,not hispanic,graduate,"$170,000 or over",2,middle class,west,strong democrat,liberal,other,no,not very strong,never,iap,You are simulating the response of a U.S. resident with the following characteristics: age 54; sex female; race white; highest educational degree: graduate; party identification: strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 54 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: graduate.
- Household income (GSS bracket): $170,000 or over.
- Household size: 2.
- Self-described social class: middle class.
- Census region: west.
- Party identification: strong democrat.
- Political views (liberal-conservative): liberal.
- Religion: other.
- Strength of religious affiliation: not very strong.
- Religious service attendance: never.
- Confidence in the scientific community: iap."
p0020,2024,865,1.061675989019813,24,male,white,"mexican, mexican american, chicano/a",high school,"$90,000 to $109,999",4,middle class,south,strong republican,conservative,none,yes,iap,several times a year,iap,You are simulating the response of a U.S. resident with the following characteristics: age 24; sex male; race white; highest educational degree: high school; party identification: strong republican.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 24 years old.
- Sex: male.
- Race: white.
- Hispanic origin: mexican, mexican american, chicano/a.
- Highest educational degree: high school.
- Household income (GSS bracket): $90,000 to $109,999.
- Household size: 4.
- Self-described social class: middle class.
- Census region: south.
- Party identification: strong republican.
- Political views (liberal-conservative): conservative.
- Religion: not religious.
- Confidence in the scientific community: iap."
p0021,2024,1930,2.9747498194046424,18,male,white,not hispanic,high school,"$170,000 or over",6,middle class,south,strong democrat,liberal,protestant,yes,iap,about once or twice a year,iap,You are simulating the response of a U.S. resident with the following characteristics: age 18; sex male; race white; highest educational degree: high school; party identification: strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 18 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $170,000 or over.
- Household size: 6.
- Self-described social class: middle class.
- Census region: south.
- Party identification: strong democrat.
- Political views (liberal-conservative): liberal.
- Religion: protestant.
- Strength of religious affiliation: iap.
- Religious service attendance: about once or twice a year.
- Self-identifies as a born-again or evangelical Christian.
- Confidence in the scientific community: iap."
p0022,2024,1016,4.450582453806987,52,male,iap,"mexican, mexican american, chicano/a",associate/junior college,"$50,000 to $59,999",NA,middle class,midwest,"independent, close to democrat",don't know,protestant,yes,strong,several times a week,a great deal,"You are simulating the response of a U.S. resident with the following characteristics: age 52; sex male; race iap; highest educational degree: associate/junior college; party identification: independent, close to democrat.","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 52 years old.
- Sex: male.
- Race: iap.
- Hispanic origin: mexican, mexican american, chicano/a.
- Highest educational degree: associate/junior college.
- Household income (GSS bracket): $50,000 to $59,999.
- Self-described social class: middle class.
- Census region: midwest.
- Party identification: independent, close to democrat.
- Political views (liberal-conservative): don't know.
- Religion: protestant.
- Strength of religious affiliation: strong.
- Religious service attendance: several times a week.
- Self-identifies as a born-again or evangelical Christian.
- Confidence in the scientific community: a great deal."
p0023,2024,1997,0.2885661853235141,67,female,white,not hispanic,high school,"$10,000 to $12,499",NA,lower class,northeast,"independent (neither, no response)","moderate, middle of the road",other,no,somewhat strong (vol.),never,iap,"You are simulating the response of a U.S. resident with the following characteristics: age 67; sex female; race white; highest educational degree: high school; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 67 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $10,000 to $12,499.
- Self-described social class: lower class.
- Census region: northeast.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: other.
- Strength of religious affiliation: somewhat strong (vol.).
- Religious service attendance: never.
- Confidence in the scientific community: iap."
p0024,2024,3301,5.522964903472281,24,male,black,not hispanic,high school,"$130,000 to $149,999",6,working class,northeast,not very strong democrat,"moderate, middle of the road",protestant,yes,iap,several times a year,only some,You are simulating the response of a U.S. resident with the following characteristics: age 24; sex male; race black; highest educational degree: high school; party identification: not very strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 24 years old.
- Sex: male.
- Race: black.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $130,000 to $149,999.
- Household size: 6.
- Self-described social class: working class.
- Census region: northeast.
- Party identification: not very strong democrat.
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: protestant.
- Strength of religious affiliation: iap.
- Religious service attendance: several times a year.
- Self-identifies as a born-again or evangelical Christian.
- Confidence in the scientific community: only some."
p0025,2024,1561,0.6746609244517342,26,male,other,puerto rican,high school,"$17,500 to $19,999",4,middle class,midwest,"independent (neither, no response)",liberal,protestant,no,iap,every week,only some,"You are simulating the response of a U.S. resident with the following characteristics: age 26; sex male; race other; highest educational degree: high school; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 26 years old.
- Sex: male.
- Race: other.
- Hispanic origin: puerto rican.
- Highest educational degree: high school.
- Household income (GSS bracket): $17,500 to $19,999.
- Household size: 4.
- Self-described social class: middle class.
- Census region: midwest.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): liberal.
- Religion: protestant.
- Strength of religious affiliation: iap.
- Religious service attendance: every week.
- Confidence in the scientific community: only some."
p0026,2024,769,0.4845275939675965,44,female,black,not hispanic,high school,"$4,000 to $4,999",2,lower class,northeast,"independent (neither, no response)","moderate, middle of the road",muslim/islam,no,iap,every week,iap,"You are simulating the response of a U.S. resident with the following characteristics: age 44; sex female; race black; highest educational degree: high school; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 44 years old.
- Sex: female.
- Race: black.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $4,000 to $4,999.
- Household size: 2.
- Self-described social class: lower class.
- Census region: northeast.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: muslim/islam.
- Strength of religious affiliation: iap.
- Religious service attendance: every week.
- Confidence in the scientific community: iap."
p0027,2024,640,4.208766114540086,39,female,white,not hispanic,bachelor's,"$170,000 or over",NA,middle class,northeast,"independent, close to democrat","moderate, middle of the road",protestant,yes,iap,about once or twice a year,only some,"You are simulating the response of a U.S. resident with the following characteristics: age 39; sex female; race white; highest educational degree: bachelor's; party identification: independent, close to democrat.","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 39 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: bachelor's.
- Household income (GSS bracket): $170,000 or over.
- Self-described social class: middle class.
- Census region: northeast.
- Party identification: independent, close to democrat.
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: protestant.
- Strength of religious affiliation: iap.
- Religious service attendance: about once or twice a year.
- Self-identifies as a born-again or evangelical Christian.
- Confidence in the scientific community: only some."
p0028,2024,1143,0.8393958248395321,30,male,white,not hispanic,high school,"$30,000 to $34,999",4,lower class,west,not very strong republican,conservative,none,no,iap,never,only some,You are simulating the response of a U.S. resident with the following characteristics: age 30; sex male; race white; highest educational degree: high school; party identification: not very strong republican.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 30 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $30,000 to $34,999.
- Household size: 4.
- Self-described social class: lower class.
- Census region: west.
- Party identification: not very strong republican.
- Political views (liberal-conservative): conservative.
- Religion: not religious.
- Confidence in the scientific community: only some."
p0029,2024,494,3.369010394314386,67,female,white,"another hispanic, latino, or spanish origin",bachelor's,"$90,000 to $109,999",NA,middle class,south,"independent (neither, no response)",slightly conservative,catholic,no,iap,several times a year,hardly any,"You are simulating the response of a U.S. resident with the following characteristics: age 67; sex female; race white; highest educational degree: bachelor's; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 67 years old.
- Sex: female.
- Race: white.
- Hispanic origin: another hispanic, latino, or spanish origin.
- Highest educational degree: bachelor's.
- Household income (GSS bracket): $90,000 to $109,999.
- Self-described social class: middle class.
- Census region: south.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): slightly conservative.
- Religion: catholic.
- Strength of religious affiliation: iap.
- Religious service attendance: several times a year.
- Confidence in the scientific community: hardly any."
p0030,2024,1346,1.1210766918695612,27,male,white,not hispanic,high school,"$130,000 to $149,999",2,working class,west,not very strong republican,slightly conservative,none,no,iap,never,only some,You are simulating the response of a U.S. resident with the following characteristics: age 27; sex male; race white; highest educational degree: high school; party identification: not very strong republican.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 27 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $130,000 to $149,999.
- Household size: 2.
- Self-described social class: working class.
- Census region: west.
- Party identification: not very strong republican.
- Political views (liberal-conservative): slightly conservative.
- Religion: not religious.
- Confidence in the scientific community: only some."
p0031,2024,999,1.8586162409554343,78,male,white,not hispanic,high school,"$75,000 to $89,999",NA,working class,south,not very strong republican,"moderate, middle of the road",none,no,no religion,never,only some,You are simulating the response of a U.S. resident with the following characteristics: age 78; sex male; race white; highest educational degree: high school; party identification: not very strong republican.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 78 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $75,000 to $89,999.
- Self-described social class: working class.
- Census region: south.
- Party identification: not very strong republican.
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: not religious.
- Confidence in the scientific community: only some."
p0032,2024,3079,2.777625649109855,35,male,white,not hispanic,associate/junior college,"$130,000 to $149,999",2,middle class,south,strong republican,slightly conservative,protestant,yes,iap,2-3 times a month,iap,You are simulating the response of a U.S. resident with the following characteristics: age 35; sex male; race white; highest educational degree: associate/junior college; party identification: strong republican.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 35 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: associate/junior college.
- Household income (GSS bracket): $130,000 to $149,999.
- Household size: 2.
- Self-described social class: middle class.
- Census region: south.
- Party identification: strong republican.
- Political views (liberal-conservative): slightly conservative.
- Religion: protestant.
- Strength of religious affiliation: iap.
- Religious service attendance: 2-3 times a month.
- Self-identifies as a born-again or evangelical Christian.
- Confidence in the scientific community: iap."
p0033,2024,3063,1.3704155111058325,51,male,white,not hispanic,associate/junior college,"$170,000 or over",3,upper class,south,strong republican,conservative,protestant,yes,iap,2-3 times a month,iap,You are simulating the response of a U.S. resident with the following characteristics: age 51; sex male; race white; highest educational degree: associate/junior college; party identification: strong republican.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 51 years old.
- Sex: male.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: associate/junior college.
- Household income (GSS bracket): $170,000 or over.
- Household size: 3.
- Self-described social class: upper class.
- Census region: south.
- Party identification: strong republican.
- Political views (liberal-conservative): conservative.
- Religion: protestant.
- Strength of religious affiliation: iap.
- Religious service attendance: 2-3 times a month.
- Self-identifies as a born-again or evangelical Christian.
- Confidence in the scientific community: iap."
p0034,2024,2969,0.7015097810091461,47,female,white,not hispanic,graduate,"$170,000 or over",NA,middle class,west,strong democrat,extremely liberal,none,no,iap,less than once a year,a great deal,You are simulating the response of a U.S. resident with the following characteristics: age 47; sex female; race white; highest educational degree: graduate; party identification: strong democrat.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 47 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: graduate.
- Household income (GSS bracket): $170,000 or over.
- Self-described social class: middle class.
- Census region: west.
- Party identification: strong democrat.
- Political views (liberal-conservative): extremely liberal.
- Religion: not religious.
- Confidence in the scientific community: a great deal."
p0035,2024,1944,3.2316534657666316,31,female,white,not hispanic,associate/junior college,"$60,000 to $74,999",NA,working class,northeast,other party,"moderate, middle of the road",none,no,iap,never,only some,You are simulating the response of a U.S. resident with the following characteristics: age 31; sex female; race white; highest educational degree: associate/junior college; party identification: other party.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 31 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: associate/junior college.
- Household income (GSS bracket): $60,000 to $74,999.
- Self-described social class: working class.
- Census region: northeast.
- Party identification: other party.
- Political views (liberal-conservative): moderate, middle of the road.
- Religion: not religious.
- Confidence in the scientific community: only some."
p0036,2024,1012,3.043997341727469,57,female,white,not hispanic,less than high school,"$35,000 to $39,999",NA,working class,midwest,"independent (neither, no response)",extremely conservative,orthodox-christian,yes,don't know,every week,iap,"You are simulating the response of a U.S. resident with the following characteristics: age 57; sex female; race white; highest educational degree: less than high school; party identification: independent (neither, no response).","You are simulating the response of a U.S. resident with the following characteristics.
- Age: 57 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: less than high school.
- Household income (GSS bracket): $35,000 to $39,999.
- Self-described social class: working class.
- Census region: midwest.
- Party identification: independent (neither, no response).
- Political views (liberal-conservative): extremely conservative.
- Religion: orthodox-christian.
- Strength of religious affiliation: don't know.
- Religious service attendance: every week.
- Self-identifies as a born-again or evangelical Christian.
- Confidence in the scientific community: iap."
p0037,2024,1795,2.4519967795930637,76,female,white,not hispanic,high school,"$60,000 to $74,999",NA,middle class,south,strong republican,conservative,protestant,yes,strong,several times a week,iap,You are simulating the response of a U.S. resident with the following characteristics: age 76; sex female; race white; highest educational degree: high school; party identification: strong republican.,"You are simulating the response of a U.S. resident with the following characteristics.
- Age: 76 years old.
- Sex: female.
- Race: white.
- Hispanic origin: not hispanic.
- Highest educational degree: high school.
- Household income (GSS bracket): $60,000 to $74,999.
- Self-described social class: middle class.
- Census region: south.
- Party identification: strong republican.
- Political views (liberal-conservative): conservative.
- Religion: protestant.
- Strength of religious affiliation: strong.
- Religious service attendance: several times a week.
- Self-identifies as a born-again or evangelical Christian.
- Confidence in the scientific community: iap."
