profile_id,year,id,wtssps,age,sex,racecen1,hispanic,degree,income16,hompop,class,region,srcbelt,partyid,polviews,relig,reborn,reliten,consci
p00015,2024,824,3.3371602160898206,21,female,white,"mexican, mexican american, chicano/a",less than high school,"$5,000 to $5,999",2,middle class,south,not available in this year,"independent (neither, no response)","moderate, middle of the road",none,no,no religion,NA
p00016,2022,2905,1.8723145576758962,44,male,hispanic,"mexican, mexican american, chicano/a",less than high school,"$30,000 to $34,999",NA,working class,south,"other urban (counties having towns of 10,000 or more)","independent, close to republican",slightly liberal,catholic,yes,not very strong,only some
p00017,2018,1189,0.8956542959709096,68,female,white,not hispanic,high school,"$75,000 to $89,999",2,middle class,midwest,suburbs of the remaining 100 largest smsas,strong republican,conservative,catholic,no,strong,only some
p00018,2022,1799,14.272461891160601,21,male,white,not hispanic,high school,"$10,000 to $12,499",1,middle class,midwest,central city of the remainder of the 100 largest smsas,"independent, close to republican",conservative,catholic,no,not very strong,only some
p00019,2018,1582,1.5434963561026587,78,male,white,not hispanic,high school,"$50,000 to $59,999",2,middle class,south,"other rural (counties having no towns of 10,000 or more)","independent, close to republican","moderate, middle of the road",protestant,yes,not very strong,NA
p00020,2022,1902,7.8309343430239124,26,male,white,not hispanic,less than high school,"$75,000 to $89,999",2,working class,west,central city of the remainder of the 100 largest smsas,other party,slightly conservative,none,no,no religion,a great deal
p00021,2022,2863,1.951216682378613,61,female,white,"mexican, mexican american, chicano/a",high school,"$10,000 to $12,499",NA,middle class,south,"other urban (counties having towns of 10,000 or more)",not very strong democrat,"moderate, middle of the road",catholic,yes,strong,NA
p00022,2018,74,1.4447800130341393,42,female,white,not hispanic,graduate,"$170,000 or over",1,upper class,northeast,central city of 12 largest smsas,not very strong democrat,liberal,catholic,no,not very strong,a great deal
p00023,2022,2130,2.6036312440744047,69,male,white,not hispanic,high school,"$90,000 to $109,999",2,middle class,south,"other rural (counties having no towns of 10,000 or more)","independent (neither, no response)",slightly conservative,catholic,no,not very strong,NA
p00024,2022,802,5.322235459497615,50,male,white,not hispanic,high school,"$75,000 to $89,999",3,working class,south,suburbs of 12 largest smsas,"independent, close to republican",extremely conservative,protestant,no,not very strong,hardly any
p00025,2021,226,1.8375175198404745,42,female,some other race,not hispanic,associate/junior college,"$50,000 to $59,999",6,working class,south,central city of 12 largest smsas,"independent, close to democrat",slightly liberal,protestant,NA,not available in this year,NA
p00026,2021,3096,3.4186474768927995,28,male,white,puerto rican,high school,"$35,000 to $39,999",3,lower class,northeast,central city of 12 largest smsas,"independent (neither, no response)",extremely conservative,protestant,NA,not available in this year,NA
p00027,2021,3165,1.8444670067853666,57,female,white,not hispanic,high school,"under $1,000",4,lower class,northeast,suburbs of the remaining 100 largest smsas,strong republican,extremely conservative,protestant,yes,not available in this year,only some
p00028,2024,2246,3.4761392378584848,66,male,white,not hispanic,bachelor's,"$130,000 to $149,999",NA,middle class,midwest,not available in this year,strong democrat,liberal,catholic,yes,NA,only some
p00029,2018,394,7.12344742777102,24,female,asian,not hispanic,graduate,"$7,000 to $7,999",5,middle class,northeast,central city of 12 largest smsas,"independent, close to democrat",extremely liberal,none,no,no religion,a great deal
p00030,2024,1545,1.0188948654846863,49,male,white,"mexican, mexican american, chicano/a",graduate,"$75,000 to $89,999",NA,working class,south,not available in this year,strong democrat,conservative,christian,no,NA,NA
p00031,2021,3392,0.5396772251877623,50,female,white,not hispanic,associate/junior college,"$75,000 to $89,999",1,middle class,south,central city of the remainder of the 100 largest smsas,"independent, close to republican","moderate, middle of the road",catholic,NA,not available in this year,NA
p00032,2024,1012,3.043997341727469,57,female,white,not hispanic,less than high school,"$35,000 to $39,999",NA,working class,midwest,not available in this year,"independent (neither, no response)",extremely conservative,orthodox-christian,yes,NA,NA
p00033,2018,2238,0.6024740889265086,53,female,white,not hispanic,less than high school,"$35,000 to $39,999",2,working class,south,"other rural (counties having no towns of 10,000 or more)",not very strong democrat,"moderate, middle of the road",none,yes,no religion,only some
p00034,2022,3095,7.890748983478698,19,female,white,"mexican, mexican american, chicano/a",associate/junior college,"$12,500 to $14,999",3,working class,west,"other urban (counties having towns of 10,000 or more)",not very strong democrat,liberal,catholic,no,strong,NA
p00035,2018,726,0.8128576545625646,50,male,black or african american,not hispanic,associate/junior college,"$20,000 to $22,499",2,working class,midwest,central city of the remainder of the 100 largest smsas,strong democrat,"moderate, middle of the road",muslim/islam,no,strong,a great deal
p00036,2018,1632,1.1812922096934149,23,male,white,not hispanic,high school,refused,5,working class,midwest,"other rural (counties having no towns of 10,000 or more)",strong republican,slightly conservative,protestant,yes,not very strong,only some
p00037,2021,2200,3.1199118620672595,88,female,white,"mexican, mexican american, chicano/a",high school,"$90,000 to $109,999",5,middle class,south,"other urban (counties having towns of 10,000 or more)",strong democrat,"moderate, middle of the road",catholic,NA,not available in this year,NA
p00038,2021,487,1.560624171400051,49,female,asian,not hispanic,less than high school,"$10,000 to $12,499",1,working class,northeast,suburbs of the remaining 100 largest smsas,"independent, close to republican",liberal,buddhism,NA,not available in this year,NA
p00039,2024,144,0.7355136069662116,53,male,white,not hispanic,bachelor's,"$170,000 or over",4,middle class,northeast,not available in this year,not very strong democrat,"moderate, middle of the road",none,no,NA,NA
p00040,2021,1639,1.6667600462880219,41,female,white,not hispanic,high school,"$20,000 to $22,499",4,working class,midwest,central city of the remainder of the 100 largest smsas,"independent (neither, no response)",extremely liberal,none,NA,not available in this year,NA
p00041,2021,2743,2.0185975543220285,27,male,white,not hispanic,high school,"$60,000 to $74,999",2,middle class,midwest,central city of the remainder of the 100 largest smsas,strong democrat,liberal,none,no,not available in this year,a great deal
p00042,2022,2263,0.5491410028274325,65,female,white,not hispanic,associate/junior college,"$50,000 to $59,999",2,middle class,south,"other urban (counties having towns of 10,000 or more)","independent (neither, no response)","moderate, middle of the road",protestant,no,NA,NA
p00043,2021,3177,1.72890325779667,66,male,some other race,not hispanic,high school,"$60,000 to $74,999",3,working class,south,central city of the remainder of the 100 largest smsas,"independent, close to democrat",slightly conservative,christian,yes,not available in this year,only some
p00044,2018,29,1.1336191827903528,40,female,white,not hispanic,high school,"$50,000 to $59,999",4,middle class,northeast,suburbs of 12 largest smsas,strong republican,extremely conservative,catholic,no,strong,a great deal
p00045,2022,866,4.733840942415235,42,female,asian,not hispanic,bachelor's,"$150,000 to $169,999",4,working class,northeast,central city of 12 largest smsas,not very strong democrat,"moderate, middle of the road",hinduism,no,NA,a great deal
p00046,2022,3102,6.210931241343832,64,female,white,not hispanic,bachelor's,"$110,000 to $129,999",NA,middle class,west,"other urban (counties having towns of 10,000 or more)",strong democrat,liberal,none,no,NA,a great deal
p00047,2021,1538,0.5036466540143997,27,male,white,not hispanic,bachelor's,"$75,000 to $89,999",1,middle class,south,central city of the remainder of the 100 largest smsas,strong republican,conservative,none,no,not available in this year,only some
p00048,2018,1382,1.6070718390144063,27,male,white,not hispanic,high school,"$60,000 to $74,999",3,working class,south,"other urban (counties having towns of 10,000 or more)","independent (neither, no response)","moderate, middle of the road",none,no,no religion,NA
p00049,2021,3749,1.3959199044755466,55,female,white,not hispanic,less than high school,"$12,500 to $14,999",2,working class,midwest,"other rural (counties having no towns of 10,000 or more)","independent (neither, no response)","moderate, middle of the road",protestant,yes,not available in this year,hardly any
p00050,2018,1587,1.8963158534611966,20,male,black or african american,not hispanic,high school,"$90,000 to $109,999",4,middle class,south,central city of the remainder of the 100 largest smsas,not very strong democrat,"moderate, middle of the road",catholic,no,not very strong,a great deal
p00051,2022,3177,0.3098824143301836,71,male,white,not hispanic,associate/junior college,"$30,000 to $34,999",NA,working class,west,"other rural (counties having no towns of 10,000 or more)",not very strong democrat,"moderate, middle of the road",protestant,yes,not very strong,only some
p00052,2021,1080,1.0990674680824923,57,female,white,not hispanic,high school,"$75,000 to $89,999",2,working class,northeast,"other rural (counties having no towns of 10,000 or more)","independent, close to democrat","moderate, middle of the road",none,no,not available in this year,a great deal
p00053,2021,3611,0.40642742673993665,55,female,white,not hispanic,graduate,"$170,000 or over",2,upper class,west,central city of the remainder of the 100 largest smsas,"independent, close to democrat",extremely liberal,none,no,not available in this year,a great deal
p00054,2024,1627,0.509966092326023,58,male,black or african american,not hispanic,high school,"$60,000 to $74,999",NA,working class,midwest,not available in this year,not very strong democrat,"moderate, middle of the road",protestant,yes,strong,a great deal
p00055,2022,615,1.242364255471585,56,female,white,not hispanic,bachelor's,"$130,000 to $149,999",4,middle class,northeast,suburbs of 12 largest smsas,not very strong democrat,liberal,catholic,no,NA,only some
p00056,2021,4416,0.9320660356759869,57,female,white,"another hispanic, latino, or spanish origin",associate/junior college,"$75,000 to $89,999",2,middle class,south,suburbs of the remaining 100 largest smsas,strong republican,liberal,christian,yes,not available in this year,hardly any
p00057,2018,2257,0.5872573443580704,37,male,white,not hispanic,high school,"$12,500 to $14,999",2,working class,midwest,"other rural (counties having no towns of 10,000 or more)",not very strong republican,conservative,protestant,yes,not very strong,hardly any
p00058,2022,255,5.701276692119419,64,female,hispanic,"mexican, mexican american, chicano/a",less than high school,"$30,000 to $34,999",3,working class,west,suburbs of 12 largest smsas,strong democrat,conservative,catholic,no,NA,a great deal
p00059,2021,408,0.4082379514726159,27,female,white,"another hispanic, latino, or spanish origin",bachelor's,"$150,000 to $169,999",1,working class,south,central city of the remainder of the 100 largest smsas,not very strong republican,slightly liberal,none,no,not available in this year,a great deal
p00060,2018,1318,2.1553537038403037,23,male,white,not hispanic,bachelor's,"$110,000 to $129,999",4,middle class,northeast,"other urban (counties having towns of 10,000 or more)","independent, close to republican","moderate, middle of the road",protestant,no,not very strong,a great deal
p00061,2018,2041,1.592315491974239,71,male,white,not hispanic,graduate,"$170,000 or over",2,middle class,west,"other rural (counties having no towns of 10,000 or more)",strong republican,extremely conservative,catholic,yes,not very strong,NA
p00062,2022,3427,0.5103959300438272,64,female,black or african american,not hispanic,high school,"$10,000 to $12,499",NA,working class,south,"other rural (counties having no towns of 10,000 or more)",strong democrat,"moderate, middle of the road",protestant,yes,NA,a great deal
p00063,2021,657,1.2665701373403169,50,male,white,not hispanic,graduate,"$170,000 or over",6,middle class,midwest,"other urban (counties having towns of 10,000 or more)","independent (neither, no response)",slightly conservative,catholic,NA,not available in this year,NA
p00064,2018,2142,1.0866211849035967,50,female,white,not hispanic,high school,"$60,000 to $74,999",2,working class,south,"other rural (counties having no towns of 10,000 or more)","independent (neither, no response)","moderate, middle of the road",none,no,no religion,only some
p00065,2018,1791,1.2644591974931734,47,female,white,not hispanic,graduate,"$90,000 to $109,999",3,working class,midwest,"other urban (counties having towns of 10,000 or more)","independent, close to democrat",slightly liberal,protestant,yes,strong,only some
p00066,2018,567,3.4768236987478147,53,female,white,not hispanic,bachelor's,"$150,000 to $169,999",4,working class,northeast,suburbs of 12 largest smsas,not very strong democrat,slightly conservative,catholic,yes,somewhat strong (vol.),a great deal
p00067,2024,634,0.9503419766750167,73,male,white,not hispanic,graduate,"$90,000 to $109,999",NA,middle class,northeast,not available in this year,"independent, close to democrat",slightly conservative,catholic,yes,strong,NA
p00068,2021,2842,1.5944394292578468,25,female,hispanic,"mexican, mexican american, chicano/a",high school,"$60,000 to $74,999",4,working class,west,"other urban (counties having towns of 10,000 or more)","independent, close to republican",conservative,catholic,no,not available in this year,only some
p00069,2021,4260,1.2440188191241919,42,female,white,not hispanic,associate/junior college,"$75,000 to $89,999",2,working class,west,central city of the remainder of the 100 largest smsas,"independent (neither, no response)","moderate, middle of the road",protestant,yes,not available in this year,only some
p00070,2021,3223,1.0389291921047963,73,female,black or african american,not hispanic,associate/junior college,"$35,000 to $39,999",2,working class,south,"other urban (counties having towns of 10,000 or more)",strong democrat,liberal,protestant,NA,not available in this year,NA
p00071,2022,1369,0.5432180416857667,36,male,white,not hispanic,graduate,"$170,000 or over",2,upper class,west,central city of the remainder of the 100 largest smsas,not very strong democrat,slightly liberal,protestant,no,NA,NA
p00072,2018,602,1.3225534081086219,53,male,white,not hispanic,associate/junior college,"$90,000 to $109,999",2,middle class,south,suburbs of 12 largest smsas,strong republican,conservative,protestant,yes,strong,only some
p00073,2021,4110,0.919863859363764,54,female,black or african american,not hispanic,high school,"$110,000 to $129,999",2,working class,south,"other rural (counties having no towns of 10,000 or more)",strong democrat,"moderate, middle of the road",inter-nondenominational,yes,not available in this year,only some
p00074,2022,595,0.5769942237407216,86,male,white,not hispanic,bachelor's,"$170,000 or over",2,middle class,northeast,central city of 12 largest smsas,"independent, close to democrat","moderate, middle of the road",catholic,no,not very strong,a great deal
p00075,2018,1781,2.266222882067069,59,male,white,not hispanic,bachelor's,"$110,000 to $129,999",2,middle class,midwest,"other urban (counties having towns of 10,000 or more)",strong republican,conservative,protestant,yes,strong,only some
p00076,2021,4313,1.0982816569399,45,female,white,not hispanic,high school,"$90,000 to $109,999",2,working class,midwest,central city of the remainder of the 100 largest smsas,"independent, close to democrat",extremely liberal,none,yes,not available in this year,a great deal
p00077,2021,4312,0.9264254912927773,56,female,white,not hispanic,high school,"$50,000 to $59,999",2,working class,south,suburbs of the remaining 100 largest smsas,other party,conservative,protestant,yes,not available in this year,only some
p00078,2022,1561,1.19952816917967,56,female,white,not hispanic,high school,"$90,000 to $109,999",NA,middle class,south,suburbs of the remaining 100 largest smsas,not very strong republican,"moderate, middle of the road",none,no,NA,a great deal
p00079,2024,2673,2.729643773180138,44,male,white,not hispanic,high school,"$60,000 to $74,999",5,middle class,midwest,not available in this year,strong republican,conservative,protestant,yes,strong,NA
p00080,2022,1885,0.5026396091767532,25,female,white,not hispanic,bachelor's,"$40,000 to $49,999",NA,working class,midwest,suburbs of the remaining 100 largest smsas,not very strong democrat,slightly liberal,none,no,no religion,a great deal
p00081,2018,2012,2.9059073784658254,41,female,white,not hispanic,bachelor's,"$110,000 to $129,999",2,middle class,west,"other urban (counties having towns of 10,000 or more)",strong republican,conservative,protestant,yes,strong,a great deal
p00082,2021,4006,0.4328414100338337,54,female,white,not hispanic,graduate,"$170,000 or over",2,middle class,midwest,suburbs of the remaining 100 largest smsas,"independent, close to democrat","moderate, middle of the road",christian,yes,not available in this year,a great deal
p00083,2021,3841,0.7986678086070983,67,female,white,not hispanic,high school,"$60,000 to $74,999",2,middle class,west,suburbs of the remaining 100 largest smsas,"independent, close to republican",conservative,catholic,no,not available in this year,only some
p00084,2021,3054,0.39055566253612706,45,male,white,not hispanic,bachelor's,"$15,000 to $17,499",1,middle class,south,"other urban (counties having towns of 10,000 or more)","independent (neither, no response)",slightly liberal,buddhism,no,not available in this year,only some
p00085,2022,775,4.038564678715146,31,female,asian,not hispanic,associate/junior college,"$60,000 to $74,999",NA,middle class,south,suburbs of 12 largest smsas,"independent (neither, no response)","moderate, middle of the road",muslim/islam,no,NA,a great deal
p00086,2022,2957,0.28553404862416,52,female,white,not hispanic,high school,"$75,000 to $89,999",NA,working class,west,"other urban (counties having towns of 10,000 or more)","independent, close to democrat","moderate, middle of the road",protestant,yes,NA,only some
p00087,2021,2430,1.1239804812327079,36,female,hispanic,"mexican, mexican american, chicano/a",bachelor's,"$40,000 to $49,999",4,working class,west,central city of 12 largest smsas,not very strong democrat,liberal,catholic,no,not available in this year,only some
p00088,2024,1036,0.4352036837406173,37,female,white,not hispanic,bachelor's,"$110,000 to $129,999",3,middle class,midwest,not available in this year,strong democrat,liberal,none,no,NA,a great deal
p00089,2024,1387,2.755762867271388,73,male,white,not hispanic,high school,"$170,000 or over",2,middle class,south,not available in this year,strong democrat,liberal,none,no,no religion,a great deal
p00090,2022,662,2.7219524968361304,69,male,white,not hispanic,graduate,"$110,000 to $129,999",NA,middle class,west,suburbs of 12 largest smsas,strong democrat,liberal,none,no,NA,NA
p00091,2022,3204,0.4632247658041995,35,female,hispanic,"mexican, mexican american, chicano/a",high school,"$40,000 to $49,999",NA,working class,south,suburbs of the remaining 100 largest smsas,"independent (neither, no response)","moderate, middle of the road",none,no,NA,NA
p00092,2021,510,0.9210502579559919,29,female,white,not hispanic,bachelor's,"$60,000 to $74,999",2,middle class,south,"other rural (counties having no towns of 10,000 or more)",not very strong republican,"moderate, middle of the road",protestant,no,not available in this year,a great deal
p00093,2022,3503,0.7531865050246744,31,male,white,not hispanic,high school,"$30,000 to $34,999",NA,working class,south,"other rural (counties having no towns of 10,000 or more)","independent (neither, no response)",slightly liberal,none,no,no religion,a great deal
p00094,2018,569,1.6421123981912567,67,male,white,not hispanic,bachelor's,"$170,000 or over",2,middle class,northeast,suburbs of 12 largest smsas,"independent, close to democrat","moderate, middle of the road",protestant,no,not very strong,only some
p00095,2022,2326,1.9118007693837964,38,male,black or african american,not hispanic,high school,"$75,000 to $89,999",4,lower class,south,"other urban (counties having towns of 10,000 or more)","independent (neither, no response)","moderate, middle of the road",none,no,no religion,NA
p00096,2021,3322,2.150993691081177,28,male,some other race,"mexican, mexican american, chicano/a",high school,"$60,000 to $74,999",3,working class,west,"other urban (counties having towns of 10,000 or more)",strong democrat,liberal,none,no,not available in this year,only some
p00097,2024,1167,0.6746612339414482,58,female,white,not hispanic,bachelor's,refused,2,middle class,south,not available in this year,not very strong republican,"moderate, middle of the road",protestant,no,not very strong,only some
p00098,2024,798,1.758322299753742,57,male,black or african american,not hispanic,less than high school,"$12,500 to $14,999",NA,working class,northeast,not available in this year,strong democrat,extremely conservative,protestant,yes,strong,a great deal
p00099,2021,1162,1.0329765852821027,40,male,black or african american,not hispanic,bachelor's,"$60,000 to $74,999",5,working class,south,suburbs of 12 largest smsas,not very strong democrat,"moderate, middle of the road",muslim/islam,NA,not available in this year,NA
p00100,2024,2593,1.7263130900747277,34,female,white,not hispanic,high school,"$50,000 to $59,999",4,working class,midwest,not available in this year,"independent (neither, no response)","moderate, middle of the road",none,no,NA,hardly any
p00101,2018,1410,2.9250637680428464,52,female,white,not hispanic,high school,"$60,000 to $74,999",3,working class,south,"other urban (counties having towns of 10,000 or more)",not very strong republican,"moderate, middle of the road",protestant,yes,strong,NA
p00102,2021,3658,0.692494858676143,35,male,white,not hispanic,high school,"$20,000 to $22,499",1,lower class,midwest,"other urban (counties having towns of 10,000 or more)","independent (neither, no response)","moderate, middle of the road",none,no,not available in this year,a great deal
p00103,2021,3202,1.7929678286239707,44,female,white,not hispanic,less than high school,"$40,000 to $49,999",3,working class,south,suburbs of 12 largest smsas,strong republican,extremely conservative,protestant,no,not available in this year,only some
p00104,2024,961,4.525840044553155,25,female,some other race,"another hispanic, latino, or spanish origin",associate/junior college,"$130,000 to $149,999",2,working class,south,not available in this year,not very strong democrat,"moderate, middle of the road",none,no,no religion,only some
p00105,2018,70,2.3325288849319294,33,female,black or african american,not hispanic,bachelor's,"$15,000 to $17,499",5,lower class,northeast,central city of 12 largest smsas,not very strong democrat,extremely liberal,protestant,no,strong,only some
p00106,2018,534,2.2904819090701927,57,male,white,not hispanic,graduate,"$110,000 to $129,999",5,middle class,south,suburbs of 12 largest smsas,strong republican,conservative,protestant,yes,strong,a great deal
p00107,2024,2120,0.8724523349761957,37,male,white,not hispanic,high school,"$130,000 to $149,999",4,middle class,south,not available in this year,not very strong republican,"moderate, middle of the road",catholic,no,NA,only some
p00108,2021,488,1.16889245504469,46,female,white,not hispanic,high school,"$35,000 to $39,999",2,working class,northeast,suburbs of the remaining 100 largest smsas,strong democrat,slightly liberal,none,no,not available in this year,a great deal
p00109,2022,354,2.368118422418508,63,female,white,not hispanic,high school,"$22,500 to $24,999",1,working class,midwest,suburbs of the remaining 100 largest smsas,"independent (neither, no response)","moderate, middle of the road",none,no,NA,only some
p00110,2021,31,1.2001164451979816,44,female,asian,not hispanic,graduate,"$170,000 or over",3,middle class,northeast,central city of 12 largest smsas,not very strong democrat,slightly liberal,protestant,NA,not available in this year,NA
p00111,2018,422,1.2230973187161907,59,female,white,not hispanic,associate/junior college,"$130,000 to $149,999",3,middle class,northeast,suburbs of the remaining 100 largest smsas,not very strong democrat,slightly liberal,catholic,no,not very strong,a great deal
p00112,2024,1644,0.5397237283499254,46,female,white,not hispanic,high school,"under $1,000",1,lower class,midwest,not available in this year,not very strong republican,"moderate, middle of the road",protestant,no,NA,only some
p00113,2018,392,3.0603680195061287,28,male,white,not hispanic,graduate,"$12,500 to $14,999",4,middle class,northeast,central city of 12 largest smsas,strong democrat,slightly liberal,none,no,no religion,a great deal
p00114,2021,2435,2.2599293924226327,22,male,white,not hispanic,high school,"$90,000 to $109,999",2,working class,west,central city of the remainder of the 100 largest smsas,not very strong republican,slightly conservative,none,no,not available in this year,a great deal
p00115,2024,2899,3.11132202243989,60,male,black or african american,not hispanic,high school,"$90,000 to $109,999",NA,lower class,west,not available in this year,"independent (neither, no response)",extremely liberal,none,no,no religion,only some
p00116,2024,874,5.347486853497202,44,male,hispanic,"mexican, mexican american, chicano/a",high school,"$40,000 to $49,999",NA,working class,south,not available in this year,"independent, close to democrat",liberal,catholic,no,NA,NA
p00117,2022,1454,1.1624169747122184,33,male,black or african american,not hispanic,associate/junior college,"$35,000 to $39,999",3,working class,midwest,suburbs of the remaining 100 largest smsas,"independent (neither, no response)",extremely liberal,none,NA,no religion,NA
p00118,2018,1766,2.63122505396885,23,female,white,not hispanic,high school,"$50,000 to $59,999",4,middle class,midwest,"other urban (counties having towns of 10,000 or more)","independent (neither, no response)","moderate, middle of the road",none,no,no religion,NA
p00119,2018,413,2.4741680421509122,57,male,white,not hispanic,high school,refused,2,working class,northeast,"other urban (counties having towns of 10,000 or more)","independent (neither, no response)","moderate, middle of the road",catholic,no,not very strong,NA
p00120,2018,2236,0.5361279799230524,70,male,white,not hispanic,high school,"$22,500 to $24,999",1,lower class,south,"other rural (counties having no towns of 10,000 or more)",strong republican,extremely conservative,protestant,yes,somewhat strong (vol.),only some
p00121,2021,189,1.6625485429408482,44,female,white,not hispanic,high school,"$130,000 to $149,999",4,working class,south,central city of 12 largest smsas,strong republican,conservative,protestant,NA,not available in this year,NA
p00122,2021,1437,4.164854369158245,28,female,white,"another hispanic, latino, or spanish origin",associate/junior college,"$40,000 to $49,999",4,working class,south,suburbs of 12 largest smsas,"independent, close to democrat","moderate, middle of the road",protestant,yes,not available in this year,only some
p00123,2022,765,1.1226065638422644,32,female,black or african american,not hispanic,high school,"$30,000 to $34,999",NA,middle class,south,central city of 12 largest smsas,not very strong democrat,slightly liberal,none,no,NA,NA
p00124,2021,255,0.8153365615906046,60,male,white,not hispanic,bachelor's,"$170,000 or over",3,middle class,midwest,suburbs of 12 largest smsas,not very strong republican,slightly conservative,catholic,no,not available in this year,only some
p00125,2018,2066,1.1823134230308299,37,male,hispanic,"mexican, mexican american, chicano/a",high school,"$3,000 to $3,999",2,working class,west,suburbs of the remaining 100 largest smsas,"independent, close to republican","moderate, middle of the road",none,no,no religion,only some
p00126,2022,586,5.257976353406087,59,female,white,not hispanic,associate/junior college,"$170,000 or over",NA,middle class,northeast,"other rural (counties having no towns of 10,000 or more)",strong democrat,liberal,catholic,no,NA,a great deal
p00127,2021,161,1.9402475213648103,43,male,asian,not hispanic,graduate,"$90,000 to $109,999",3,working class,west,suburbs of 12 largest smsas,"independent (neither, no response)","moderate, middle of the road",none,NA,not available in this year,a great deal
p00128,2021,3455,1.5914813758751758,46,female,black or african american,not hispanic,high school,"$75,000 to $89,999",2,working class,northeast,suburbs of 12 largest smsas,not very strong democrat,slightly liberal,jewish,NA,not available in this year,NA
p00129,2024,604,5.61457383760267,53,male,white,not hispanic,high school,"$75,000 to $89,999",3,working class,northeast,not available in this year,"independent, close to republican","moderate, middle of the road",none,no,NA,only some
p00130,2018,1906,1.2081077841369787,33,male,black or african american,not hispanic,high school,"$60,000 to $74,999",5,working class,south,"other urban (counties having towns of 10,000 or more)",not very strong democrat,"moderate, middle of the road",protestant,yes,strong,NA
p00131,2021,2954,1.908745723126602,54,female,white,not hispanic,high school,"$170,000 or over",4,middle class,west,"other urban (counties having towns of 10,000 or more)",not very strong republican,"moderate, middle of the road",christian,yes,not available in this year,only some
p00132,2018,2156,0.7135228100918418,26,male,white,not hispanic,bachelor's,"$30,000 to $34,999",1,middle class,midwest,"other urban (counties having towns of 10,000 or more)",strong democrat,liberal,none,no,no religion,NA
p00133,2022,1535,6.151124309579466,32,male,white,not hispanic,high school,"$110,000 to $129,999",3,working class,south,suburbs of the remaining 100 largest smsas,not very strong democrat,conservative,christian,yes,NA,NA
p00134,2022,653,4.420174322593648,39,female,white,not hispanic,graduate,"$110,000 to $129,999",6,middle class,northeast,suburbs of 12 largest smsas,other party,"moderate, middle of the road",catholic,no,NA,a great deal
p00135,2021,1905,0.6096411401099052,60,female,white,not hispanic,graduate,"$75,000 to $89,999",3,middle class,west,"other rural (counties having no towns of 10,000 or more)","independent, close to democrat",slightly liberal,protestant,no,not available in this year,a great deal
p00136,2022,1901,9.798830302948929,25,male,white,"mexican, mexican american, chicano/a",less than high school,"$110,000 to $129,999",NA,middle class,west,central city of the remainder of the 100 largest smsas,"independent (neither, no response)","moderate, middle of the road",none,no,no religion,NA
